Count,Name,Edition,Condition,Language,Foil,Collector Number,Alter,Proxy,Purchase Price
4,Damping Sphere,DMR,NM,en,,219,FALSE,FALSE,
1,Dark Bargain,DOM,NM,en,,83,FALSE,FALSE,
1,Dark Ritual,TE,NM,en,,,FALSE,FALSE,
1,Darkbore Pathway,KHM,NM,en,,292,FALSE,FALSE,
1,Darklit Gargoyle,CON,NM,en,,7,FALSE,FALSE,
1,Darksteel Brute,DST,NM,en,,108,FALSE,FALSE,
1,Darksteel Plate,2X2,NM,en,,304,FALSE,FALSE,
1,Darksteel Sentinel,SOM,NM,en,,152,FALSE,FALSE,
1,Darling of the Masses,SNC,NM,en,,181,FALSE,FALSE,
1,Dauntless Dismantler,LCI,NM,en,,8,FALSE,FALSE,
1,Day of Destiny,DMC,NM,en,,99,FALSE,FALSE,
1,Deadly Derision,MOM,NM,en,,99,FALSE,FALSE,
1,Deadly Dispute,BLC,NM,en,,181,FALSE,FALSE,
1,Deadly Recluse,M13,NM,en,,165,FALSE,FALSE,
2,Deadly Riposte,BRO,NM,en,,5,FALSE,FALSE,
1,Deadly Riposte,BRO,NM,en,foil,5,FALSE,FALSE,
1,Deafening Silence,ELD,NM,en,,10,FALSE,FALSE,
1,Deafening Silence,ELD,NM,en,foil,10,FALSE,FALSE,
1,Death's Presence,40K,NM,en,,212,FALSE,FALSE,
1,Deathbloom Ritualist,BRO,NM,en,,208,FALSE,FALSE,
2,Deathcap Glade,VOW,NM,en,,281,FALSE,FALSE,
2,Deathgreeter,ALA,NM,en,,71,FALSE,FALSE,
1,"Deathleaper, Terror Weapon",40K,NM,en,,115,FALSE,FALSE,
1,Deathless Knight,ELD,NM,en,,208,FALSE,FALSE,
1,Decadent Dragon,WOE,NM,en,,223,FALSE,FALSE,
1,Decimate,DMR,NM,en,,356,FALSE,FALSE,
1,Decimate,NEC,NM,en,,137,FALSE,FALSE,
1,Decimator Web,MBS,NM,en,,105,FALSE,FALSE,
2,Deconstruction Hammer,LCI,NM,en,,9,FALSE,FALSE,
1,Decree of Pain,BLC,NM,en,,182,FALSE,FALSE,
1,Deep Analysis,DMR,NM,en,,46,FALSE,FALSE,
1,Deep Forest Hermit,BLC,NM,en,,213,FALSE,FALSE,
1,Deep Forest Hermit,MH1,NM,en,,161,FALSE,FALSE,
