Count,Name,Edition,Condition,Language,Foil,Collector Number,Alter,Proxy,Purchase Price
1,Gaea's Gift,BRO,NM,en,,182,FALSE,FALSE,
1,Gala Greeters,SNC,NM,en,,431,FALSE,FALSE,
1,Galadhrim Bow,LTR,NM,en,,167,FALSE,FALSE,
1,Galadriel's Dismissal,LTC,NM,en,,500,FALSE,FALSE,
1,Gallant Pie-Wielder,WOE,NM,en,,15,FALSE,FALSE,
1,Gallia of the Endless Dance,THB,NM,en,foil,338,FALSE,FALSE,
1,Game Trail,40K,NM,en,,282,FALSE,FALSE,
1,Game Trail,NEC,NM,en,,169,FALSE,FALSE,
1,"Gandalf, Friend of the Shire",LTR,NM,en,foil,401,FALSE,FALSE,
1,Garenbrig Paladin,ELD,NM,en,,157,FALSE,FALSE,
1,Garenbrig Squire,ELD,NM,en,,158,FALSE,FALSE,
2,Gargantuan Leech,LCI,NM,en,,107,FALSE,FALSE,
1,Gargoyle Flock,40K,NM,en,,123,FALSE,FALSE,
1,"Garna, the Bloodflame",DMC,NM,en,,151,FALSE,FALSE,
1,Garruk's Uprising,NCC,NM,en,,292,FALSE,FALSE,
2,Garruk's Uprising,WOT,NM,en,,53,FALSE,FALSE,
1,"Garruk, Cursed Huntsman",BLC,NM,en,foil,99,FALSE,FALSE,
1,Gatstaf Arsonists,SOI,NM,en,,158,FALSE,FALSE,
1,Geier Reach Sanitarium,DMC,NM,en,,213,FALSE,FALSE,
1,Generous Gift,DMC,NM,en,,100,FALSE,FALSE,
1,Genesis Hydra,NEC,NM,en,,118,FALSE,FALSE,
1,Genestealer Locus,40K,NM,en,,21,FALSE,FALSE,
1,Genestealer Patriarch,40K,NM,en,,22,FALSE,FALSE,
1,Geothermal Kami,NEO,NM,en,,186,FALSE,FALSE,
1,Gerrard's Hourglass Pendant,DMC,NM,en,,17,FALSE,FALSE,
2,Geth's Verdict,NPH,NM,en,,61,FALSE,FALSE,
1,"Geth, Thane of Contracts",ONE,NM,en,foil,95,FALSE,FALSE,
1,Ghalma's Warden,SOM,NM,en,,8,FALSE,FALSE,
1,Ghitu Lavarunner,DOM,NM,en,,127,FALSE,FALSE,
1,Ghostly Wings,SOI,NM,en,,66,FALSE,FALSE,
1,"Ghyrson Starn, Kelermorph",40K,NM,en,,124,FALSE,FALSE,
2,Giant Ankheg,CLB,NM,en,,233,FALSE,FALSE,
1,Giant Cindermaw,BRO,NM,en,,136,FALSE,FALSE,
