Count,Name,Edition,Condition,Language,Foil,Collector Number,Alter,Proxy,Purchase Price
1,Jackal Familiar,M10,NM,en,,143,FALSE,FALSE,
1,Jade Seedstones,LCI,NM,en,,195,FALSE,FALSE,
1,"Jaheira, Friend of the Forest",CLB,NM,en,,237,FALSE,FALSE,
2,Jalum Tome,BRR,NM,en,,24,FALSE,FALSE,
2,Jalum Tome,DMR,NM,en,,226,FALSE,FALSE,
1,Jazal Goldmane,DMC,NM,en,,102,FALSE,FALSE,
1,Jhessian Infiltrator,ALA,NM,en,,174,FALSE,FALSE,
1,Jhessian Lookout,ALA,NM,en,,46,FALSE,FALSE,
1,Jhessian Zombies,ARB,NM,en,,22,FALSE,FALSE,
1,Jhoira's Familiar,DOM,NM,en,,220,FALSE,FALSE,
3,Johann's Stopgap,WOE,NM,en,,58,FALSE,FALSE,
2,"Johann, Apprentice Sorcerer",WOE,NM,en,,207,FALSE,FALSE,
1,"Johann, Apprentice Sorcerer",WOE,NM,en,foil,207,FALSE,FALSE,
1,Join the Dead,LCI,NM,en,,110,FALSE,FALSE,
1,"Josu Vess, Lich Knight",DMC,NM,en,,113,FALSE,FALSE,
1,Juggernaut,DMR,NM,en,,228,FALSE,FALSE,
1,Jukai Preserver,NEO,NM,en,,195,FALSE,FALSE,
1,Jukai Trainee,NEO,NM,en,,326,FALSE,FALSE,
1,Jund Sojourners,ARB,NM,en,,116,FALSE,FALSE,
1,Jungle Hollow,BLC,NM,en,,313,FALSE,FALSE,
1,Jungle Weaver,ALA,NM,en,,134,FALSE,FALSE,
4,Jwari Disruption,ZNR,NM,en,,64,FALSE,FALSE,
4,Kabira Takedown,ZNR,NM,en,,19,FALSE,FALSE,
1,"Kaima, the Fractured Calm",NEC,NM,en,,3,FALSE,FALSE,
1,Kaito Shizuki,NEO,NM,en,,226,FALSE,FALSE,
1,Kaito's Pursuit,NEO,NM,en,,103,FALSE,FALSE,
1,"Kaito, Dancing Shadow",ONE,NM,en,,340,FALSE,FALSE,
1,Kaleidostone,CON,NM,en,,137,FALSE,FALSE,
1,Kalonian Hydra,C16,NM,en,,154,FALSE,FALSE,
1,Kamahl's Druidic Vow,DOM,NM,en,,166,FALSE,FALSE,
1,Kami of Celebration,NEC,NM,en,,20,FALSE,FALSE,
1,Kami of Industry,NEO,NM,en,,149,FALSE,FALSE,
2,Kami of Whispered Hopes,MOM,NM,en,,196,FALSE,FALSE,
4,Karametra's Blessing,THB,NM,en,,26,FALSE,FALSE,
1,Karametra's Favor,BNG,NM,en,,125,FALSE,FALSE,
1,"Kari Zev, Skyship Raider",DMC,NM,en,,123,FALSE,FALSE,
1,Karmic Guide,MH2,NM,en,,263,FALSE,FALSE,
1,Karn's Bastion,NCC,NM,en,,410,FALSE,FALSE,
2,"Karn, Scion of Urza",DOM,NM,en,,1,FALSE,FALSE,
2,Karplusan Forest,DMU,NM,en,,379,FALSE,FALSE,
1,Karsus Depthguard,MOM,NM,en,,150,FALSE,FALSE,
2,Kaslem's Stonetree,LCI,NM,en,,197,FALSE,FALSE,
1,Kathari Bomber,ARB,NM,en,,41,FALSE,FALSE,
1,Kaya's Wrath,DMC,NM,en,,155,FALSE,FALSE,
1,Kayla's Reconstruction,BRO,NM,en,,10,FALSE,FALSE,
1,"Kazarov, Sengir Pureblood",DOM,NM,en,,96,FALSE,FALSE,
1,Keen Sense,TSR,NM,en,,213,FALSE,FALSE,
1,Keldon Warcaller,DOM,NM,en,,136,FALSE,FALSE,
1,Kellan's Lightblades,WOE,NM,en,,18,FALSE,FALSE,
2,Kemba's Skyguard,SOM,NM,en,,13,FALSE,FALSE,
1,"Kenessos, Priest of Thassa",J22,NM,en,,13,FALSE,FALSE,
1,Kenrith's Transformation,ELD,NM,en,,164,FALSE,FALSE,
2,"Kethek, Crucible Goliath",ONE,NM,en,,206,FALSE,FALSE,
1,Ketria Triome,IKO,NM,en,,310,FALSE,FALSE,
1,"Kibo, Uktabi Prince",J22,NM,en,foil,835,FALSE,FALSE,
1,Kill-Zone Acrobat,BRO,NM,en,,106,FALSE,FALSE,
1,Kindled Fury,M10,NM,en,,144,FALSE,FALSE,
2,Kindled Heroism,WOE,NM,en,,138,FALSE,FALSE,
1,Kindred Dominance,C17,NM,en,,18,FALSE,FALSE,
1,King Darien XLVIII,DMU,NM,en,,303,FALSE,FALSE,
1,Kiora's Follower,BNG,NM,en,,150,FALSE,FALSE,
5,"Kiora, Behemoth Beckoner",WAR,NM,en,,232,FALSE,FALSE,
1,"Kiora, Sovereign of the Deep",MAT,NM,en,,170,FALSE,FALSE,
3,Kitsune Ace,NEO,NM,en,,22,FALSE,FALSE,
1,Kitsune Ace,NEO,NM,en,foil,22,FALSE,FALSE,
1,Kjeldoran Gargoyle,DMR,NM,en,,11,FALSE,FALSE,
1,Klauth's Will,AFC,NM,en,,51,FALSE,FALSE,
1,Knight of New Benalia,DOM,NM,en,,24,FALSE,FALSE,
1,Knight of the New Coalition,MOM,NM,en,,25,FALSE,FALSE,
1,Knighted Myr,MH2,NM,en,,17,FALSE,FALSE,
1,Kodama of the West Tree,NEO,NM,en,,199,FALSE,FALSE,
1,Kodama's Reach,NEC,NM,en,,120,FALSE,FALSE,
1,Kodama's Reach,UMA,NM,en,,171,FALSE,FALSE,
1,Kogla and Yidaro,MOM,NM,en,,311,FALSE,FALSE,
1,"Kogla, the Titan Ape",IKO,NM,en,,162,FALSE,FALSE,
1,Koilos Roc,BRO,NM,en,,55,FALSE,FALSE,
1,Komainu Battle Armor,NEC,NM,en,,21,FALSE,FALSE,
1,Kor Halberd,MOM,NM,en,,27,FALSE,FALSE,
1,"Kosei, Penitent Warlord",NEC,NM,en,,26,FALSE,FALSE,
1,"Kothophed, Soul Hoarder",DMC,NM,en,,114,FALSE,FALSE,
1,Kraken's Eye,M10,NM,en,,213,FALSE,FALSE,
1,"Krenko, Tin Street Kingpin",DMC,NM,en,,124,FALSE,FALSE,
1,"Krenko, Tin Street Kingpin",NEC,NM,en,,107,FALSE,FALSE,
1,Krosan Beast,OD,NM,en,,248,FALSE,FALSE,
1,Krosan Druid,DOM,NM,en,,167,FALSE,FALSE,
1,Kumano Faces Kakkazan,NEO,NM,en,,152,FALSE,FALSE,
1,"Kutzil, Malamet Exemplar",LCI,NM,en,,232,FALSE,FALSE,
1,Lair of the Hydra,AFR,NM,en,,259,FALSE,FALSE,
1,Land Tax,WOT,NM,en,,9,FALSE,FALSE,
1,"Lara Croft, Tomb Raider",SLD,NM,en,,1501,FALSE,FALSE,
2,Latchkey Faerie,MOR,NM,en,,39,FALSE,FALSE,
1,Latulla's Orders,PR,NM,en,,96,FALSE,FALSE,
1,Lava Axe,M10,NM,en,,145,FALSE,FALSE,
1,Lazotep Chancellor,MH2,NM,en,,203,FALSE,FALSE,
1,Leaden Myr,SOM,NM,en,,170,FALSE,FALSE,
3,Leaf Gilder,LRW,NM,en,,227,FALSE,FALSE,
4,Leeching Bite,NPH,NM,en,,113,FALSE,FALSE,
