Count,Name,Edition,Condition,Language,Foil,Collector Number,Alter,Proxy,Purchase Price
1,Aberrant,40K,NM,en,,86,FALSE,FALSE,
2,Abrade,LCI,NM,en,,131,FALSE,FALSE,
1,Abrade,VOW,NM,en,,139,FALSE,FALSE,
1,Absorb,DMR,NM,en,,443,FALSE,FALSE,
1,Abundance,40K,NM,en,,210,FALSE,FALSE,
1,Academy Manufactor,MH2,NM,en,,469,FALSE,FALSE,
1,Academy Manufactor,BLC,NM,en,,264,FALSE,FALSE,
1,Academy Ruins,SLD,NM,en,,1506,FALSE,FALSE,
1,Acidic Slime,NEC,NM,en,,112,FALSE,FALSE,
1,Acolyte Hybrid,40K,NM,en,,70,FALSE,FALSE,
1,Acorn Catapult,PLIST,NM,en,,241,FALSE,FALSE,
1,Acorn Harvest,TOR,NM,en,,118,FALSE,FALSE,
1,Acquisition Octopus,NEO,NM,en,,44,FALSE,FALSE,
2,Acrobatic Leap,LCI,NM,en,,2,FALSE,FALSE,
3,Act of Aggression,NPH,NM,en,,78,FALSE,FALSE,
4,Adarkar Wastes,DMU,NM,en,,243,FALSE,FALSE,
1,"Adriana, Captain of the Guard",DMC,NM,en,,139,FALSE,FALSE,
4,Adventurous Impulse,IKO,NM,en,,142,FALSE,FALSE,
2,Aeronaut Admiral,AER,NM,en,,2,FALSE,FALSE,
1,Aeronaut Cavalry,BRO,NM,en,,1,FALSE,FALSE,
2,Aeronaut's Wings,BRO,NM,en,,231,FALSE,FALSE,
1,Aesthir Glider,DOM,NM,en,,209,FALSE,FALSE,
1,Aether Gust,M20,NM,en,,42,FALSE,FALSE,
1,Aetherize,40K,NM,en,,191,FALSE,FALSE,
1,Aethersphere Harvester,AER,NM,en,,142,FALSE,FALSE,
1,Agatha's Champion,WOE,NM,en,,160,FALSE,FALSE,
1,Agitator Ant,NEC,NM,en,,102,FALSE,FALSE,
1,Air Elemental,M10,NM,en,,42,FALSE,FALSE,
