Count,Name,Edition,Condition,Language,Foil,Collector Number,Alter,Proxy,Purchase Price
1,Nadier's Nightblade,CMM,NM,en,,641,FALSE,FALSE,
1,Nadier's Nightblade,BLC,NM,en,,184,FALSE,FALSE,
1,Nahiri's Sacrifice,ONE,NM,en,,142,FALSE,FALSE,
1,"Narset, Enlightened Exile",MAT,NM,en,,173,FALSE,FALSE,
2,Naturalize,M11,NM,en,,186,FALSE,FALSE,
1,Nature's Claim,IMA,NM,en,,177,FALSE,FALSE,
1,Nature's Lore,CLB,NM,en,,244,FALSE,FALSE,
1,Naya Battlemage,ALA,NM,en,,142,FALSE,FALSE,
1,Naya Panorama,ALA,NM,en,,227,FALSE,FALSE,
1,Necroblossom Snarl,BLC,NM,en,,319,FALSE,FALSE,
1,Necrogen Censer,SOM,NM,en,,184,FALSE,FALSE,
1,Necrogen Rotpriest,ONE,NM,en,,212,FALSE,FALSE,
1,Negate,M10,NM,en,,65,FALSE,FALSE,
1,Negate,M13,NM,en,,62,FALSE,FALSE,
1,"Neheb, Dreadhorde Champion",DMC,NM,en,,125,FALSE,FALSE,
1,Nested Shambler,BLC,NM,en,,185,FALSE,FALSE,
1,Nested Shambler,MH2,NM,en,,95,FALSE,FALSE,
2,Neurok Hoversail,MRD,NM,en,,218,FALSE,FALSE,
1,"Neva, Stalked by Nightmares",WOE,NM,en,,209,FALSE,FALSE,
1,New Horizons,40K,NM,en,,218,FALSE,FALSE,
1,Nexos,40K,NM,en,,95,FALSE,FALSE,
1,Nezumi Bladeblesser,NEO,NM,en,,318,FALSE,FALSE,
1,Nezumi Bladeblesser,NEO,NM,en,,115,FALSE,FALSE,
2,Nezumi Informant,MOM,NM,en,,120,FALSE,FALSE,
1,"Nicanzil, Current Conductor",LCI,NM,en,,236,FALSE,FALSE,
1,"Nicol Bolas, Planeswalker",M13,NM,en,,199,FALSE,FALSE,
1,Night of the Sweets' Revenge,WOE,NM,en,,178,FALSE,FALSE,
1,Night's Whisper,DMC,NM,en,,115,FALSE,FALSE,
1,Nightmare,M10,NM,en,,107,FALSE,FALSE,
1,Nimble Hobbit,LTR,NM,en,,23,FALSE,FALSE,
1,Nimraiser Paladin,ONE,NM,en,,101,FALSE,FALSE,
1,Ninja's Kunai,NEO,NM,en,,252,FALSE,FALSE,
1,"Nissa, Voice of Zendikar",DDR,NM,en,foil,,FALSE,FALSE,
1,No Mercy,DMR,NM,en,,427,FALSE,FALSE,
2,Nomad Decoy,DMR,NM,en,,17,FALSE,FALSE,
1,Nomad Outpost,DMC,NM,en,,222,FALSE,FALSE,
1,Norn's Wellspring,ONE,NM,en,,24,FALSE,FALSE,
2,Not Dead After All,WOE,NM,en,,101,FALSE,FALSE,
1,"Now for Wrath, Now for Ruin!",LTR,NM,en,,24,FALSE,FALSE,
1,Numbing Dose,NPH,NM,en,,40,FALSE,FALSE,
1,Nurturing Bristleback,LCI,NM,en,,203,FALSE,FALSE,
1,Nut Collector,DMR,NM,en,,171,FALSE,FALSE,
1,Oakhame Adversary,ELD,NM,en,,167,FALSE,FALSE,
1,Oath of the Grey Host,LTR,NM,en,,101,FALSE,FALSE,
1,Ob Nixilis Reignited,C21,NM,en,,149,FALSE,FALSE,
1,Obelisk of Jund,ALA,NM,en,,215,FALSE,FALSE,
1,Obliterating Bolt,BRO,NM,en,,145,FALSE,FALSE,
1,Obscuring Haze,C20,NM,en,,61,FALSE,FALSE,
1,Obyra's Attendants,WOE,NM,en,,63,FALSE,FALSE,
1,"Obyra, Dreaming Duelist",WOE,NM,en,,210,FALSE,FALSE,
1,Ochre Jelly,AFR,NM,en,,196,FALSE,FALSE,
1,"Odric, Lunarch Marshal",DMC,NM,en,,103,FALSE,FALSE,
3,Offer Immortality,ONE,NM,en,,102,FALSE,FALSE,
1,Ogre Errant,ELD,NM,en,,132,FALSE,FALSE,
2,Ogre Menial,NPH,NM,en,,89,FALSE,FALSE,
1,Ogre Resister,MBS,NM,en,,72,FALSE,FALSE,
1,Ogre Slumlord,BLC,NM,en,,186,FALSE,FALSE,
